episode,total_reward,best_reward,average_reward,episode_length,total_steps,epsilon,average_loss,learning_rate,gamma,timestamp
1,0,0,4.281,1024,1024,0.0,0.0,0.0001,0.99,2025-09-14 22:10:17
2,17.0,17.0,8.635,1024,2048,0.0,0.0,0.0001,0.99,2025-09-14 22:10:24
3,107.0,107.0,14.98,1024,3072,0.0,0.0,0.0001,0.99,2025-09-14 22:10:32
4,113.0,113.0,18.632,1024,4096,0.0,0.0,0.0001,0.99,2025-09-14 22:10:40
5,61.0,61.0,16.356,1024,5120,0.0,0.0,0.0001,0.99,2025-09-14 22:10:47
6,43.5,43.5,15.642,1024,6144,0.0,0.0,0.0001,0.99,2025-09-14 22:10:55
7,209.667,209.667,16.809,1024,7168,0.0,0.0,0.0001,0.99,2025-09-14 22:11:03
8,231.5,231.5,17.395,1024,8192,0.0,0.0,0.0001,0.99,2025-09-14 22:11:11
9,224.0,224.0,18.379,1024,9216,0.0,0.0,0.0001,0.99,2025-09-14 22:11:19
