episode,total_reward,best_reward,average_reward,episode_length,total_steps,epsilon,average_loss,learning_rate,gamma,timestamp
0,106.45,106.45,106.45,1345,1345,0.9868,0.0,0.0001,0.99,2025-09-12 12:01:19
1,41.3,106.45,73.875,2005,3350,0.9674,0.0,0.0001,0.99,2025-09-12 12:01:31
2,74.7,106.45,74.15,279,3629,0.9647,0.0,0.0001,0.99,2025-09-12 12:01:33
3,66.0,106.45,72.113,695,4324,0.9581,0.0,0.0001,0.99,2025-09-12 12:01:38
4,89.75,106.45,75.64,686,5010,0.9516,0.0,0.0001,0.99,2025-09-12 12:01:43
5,94.6,106.45,78.8,373,5383,0.9481,0.0,0.0001,0.99,2025-09-12 12:01:45
6,90.9,106.45,80.529,677,6060,0.9418,0.0,0.0001,0.99,2025-09-12 12:01:50
7,96.4,106.45,82.513,346,6406,0.9386,0.0,0.0001,0.99,2025-09-12 12:01:52
8,72.45,106.45,81.394,357,6763,0.9353,0.0,0.0001,0.99,2025-09-12 12:01:55
9,53.35,106.45,78.59,124,6887,0.9341,0.0,0.0001,0.99,2025-09-12 12:01:56
10,58.8,106.45,76.791,160,7047,0.9326,0.0,0.0001,0.99,2025-09-12 12:01:57
11,56.8,106.45,75.125,110,7157,0.9316,0.0,0.0001,0.99,2025-09-12 12:01:58
