episode,avg_return,max_stage,flag_get,avg_total_reward
1,2.968,1,False,196.0
2,10.0,1,False,152.25
3,18.97,1,False,182.538
4,22.791,1,False,168.857
5,26.841,1,False,215.895
6,31.416,1,False,229.389
7,32.933,1,False,211.714
8,32.098,1,False,220.042
9,32.091,1,False,238.19
10,33.348,1,False,209.095
11,29.196,1,False,217.095
12,32.274,1,False,219.72
13,33.253,1,False,250.545
14,32.354,1,False,227.227
15,31.287,1,False,210.08
16,32.559,1,False,259.773
17,33.434,1,False,219.667
18,32.933,1,False,214.458
19,34.776,1,False,209.346
20,33.986,1,False,247.526
21,33.017,1,False,199.5
22,32.099,1,False,248.958
23,32.449,1,False,234.632
24,34.0,1,False,224.542
25,32.165,1,False,195.5
26,31.375,1,False,231.043
27,32.832,1,False,240.2
28,33.304,1,False,251.045
29,34.825,1,False,233.217
30,33.826,1,False,231.095
31,35.338,1,False,247.0
32,36.095,1,False,237.75
33,36.693,1,False,233.818
34,36.644,1,False,229.179
35,33.707,1,False,243.542
36,33.002,1,False,228.087
37,33.168,1,False,233.333
38,34.201,1,False,242.704
39,33.691,1,False,231.68
40,35.705,1,False,278.15
41,35.411,1,False,226.56
42,37.791,1,False,275.696
43,39.075,1,False,261.273
44,38.103,1,False,233.636
45,34.785,1,False,218.227
46,35.725,1,False,237.44
47,34.219,1,False,250.737
48,35.152,1,False,241.045
49,41.665,1,False,283.368
50,36.34,1,False,234.263
51,39.58,1,False,284.706
52,38.574,1,False,236.056
53,40.207,1,False,221.05
54,36.005,1,False,209.5
55,34.187,1,False,222.5
56,36.337,1,False,249.429
57,35.311,1,False,213.609
58,31.711,1,False,228.136
59,33.984,1,False,235.136
60,34.59,1,False,233.087
61,37.691,1,False,295.421
62,38.311,1,False,223.5
63,37.428,1,False,243.136
64,37.965,1,False,230.762
65,39.018,1,False,256.4
66,36.808,1,False,240.56
67,36.388,1,False,235.263
68,37.348,1,False,247.933
69,40.863,1,False,242.667
70,41.091,1,False,267.0
71,44.2,1,False,291.389
72,45.366,1,False,264.333
73,45.253,1,False,236.348
74,43.907,1,False,266.368
75,40.229,1,False,251.261
76,39.395,1,False,239.417
77,38.504,1,False,244.81
78,37.454,1,False,283.136
79,37.304,1,False,242.571
80,36.004,1,False,233.478
81,36.641,1,False,263.348
82,41.151,1,False,298.053
83,40.059,1,False,269.421
84,40.558,1,False,230.684
85,40.558,1,False,262.619
86,43.66,1,False,271.167
87,39.872,1,False,267.048
88,40.371,1,False,276.19
89,39.005,1,False,255.381
90,39.258,1,False,215.263
