episode,avg_return,max_stage,flag_get,avg_total_reward
227,65.542,1,False,286.222
228,57.105,1,False,234.714
229,52.765,1,False,277.8
230,61.346,1,False,253.429
231,64.84,1,False,328.5
232,68.535,1,False,280.786
233,62.41,1,False,356.8
234,73.967,1,False,328.077
235,61.7,1,False,405.875
236,72.846,1,False,400.167
237,76.331,1,False,528.167
238,73.631,1,False,204.625
239,58.403,1,False,211.182
240,62.607,1,False,446.0
241,69.506,1,False,281.273
242,61.968,1,False,184.5
243,75.139,1,False,311.0
244,79.436,1,False,329.5
245,72.62,1,False,414.889
246,74.957,1,False,283.133
247,75.666,1,False,385.143
248,78.476,1,False,449.875
249,81.61,1,False,559.333
250,85.625,1,False,552.556
251,81.987,1,False,202.571
252,91.526,1,False,464.0
253,96.38,1,False,410.222
254,98.88,1,False,371.167
255,88.222,1,False,593.4
256,88.778,1,False,343.583
257,87.048,1,False,414.643
258,86.192,1,False,309.778
259,89.838,1,False,350.667
260,79.137,1,False,380.9
261,83.353,1,False,537.111
262,85.765,1,False,524.111
263,64.344,1,False,396.0
264,76.135,1,False,589.9
265,62.55,1,False,641.0
266,80.007,1,False,569.5
267,73.791,1,False,530.778
268,72.885,1,False,512.6
269,76.995,1,False,372.875
270,72.335,1,False,461.143
271,73.907,1,False,421.0
272,79.147,1,False,417.0
273,79.997,1,False,336.143
274,88.758,1,False,258.25
275,86.832,1,False,237.125
276,89.755,1,False,423.9
277,90.839,1,False,463.75
278,84.606,1,False,480.125
279,89.83,1,False,425.125
280,81.747,1,False,346.0
281,84.35,1,False,490.818
282,73.957,1,False,444.0
283,78.61,1,False,422.222
284,77.056,1,False,506.875
285,85.496,1,False,389.111
286,80.351,1,False,421.583
287,77.896,1,False,399.2
288,87.331,1,False,364.25
289,89.444,1,False,418.636
290,74.255,1,False,448.833
291,76.108,1,False,488.571
292,82.22,1,False,375.0
293,84.141,1,False,504.0
294,87.772,1,False,567.3
295,85.751,1,False,551.286
296,90.645,1,False,437.5
297,86.285,1,False,490.6
298,83.525,1,False,527.0
299,87.916,1,False,400.778
300,84.701,1,False,381.222
301,84.774,1,False,403.6
302,88.282,1,False,549.111
303,81.387,1,False,436.429
304,76.755,1,False,392.333
305,86.234,1,False,423.4
306,85.425,1,False,406.25
307,77.746,1,False,344.0
308,78.56,1,False,401.0
309,73.855,1,False,420.714
310,73.047,1,False,510.222
311,81.442,1,False,514.167
312,74.694,1,False,358.571
313,82.845,1,False,456.857
314,85.905,1,False,448.625
315,84.774,1,False,319.8
316,81.905,1,False,263.667
317,90.177,1,False,338.625
318,89.816,1,False,452.3
319,84.271,1,False,339.125
320,81.606,1,False,523.75
321,89.001,1,False,464.25
322,82.107,1,False,436.857
323,82.982,1,False,517.2
324,74.323,1,False,388.857
325,81.869,1,False,593.0
326,76.729,1,False,275.857
327,85.577,1,True,400.083
328,85.178,1,False,425.556
329,84.944,1,False,445.625
330,79.235,1,False,599.1
331,86.941,1,False,464.857
332,87.792,1,False,302.727
333,83.022,1,False,365.833
334,85.421,1,False,286.714
335,71.811,1,False,494.6
336,90.148,1,False,376.0
337,80.76,1,False,467.6
338,84.83,1,False,492.571
339,88.317,1,False,417.75
340,87.145,1,False,495.5
341,90.186,1,False,410.167
342,91.779,1,False,305.833
343,91.869,1,False,341.167
344,89.419,1,False,605.667
345,81.22,1,False,417.5
346,89.265,1,False,444.571
347,92.172,1,False,407.889
348,88.335,1,False,630.286
349,79.033,1,False,309.6
350,79.296,1,False,366.917
351,88.147,1,False,551.0
352,91.776,1,False,368.75
353,88.935,1,False,209.0
354,88.563,1,False,377.143
355,87.93,1,False,363.571
356,88.546,1,False,435.667
357,88.108,1,False,487.6
358,90.015,1,False,510.111
359,82.976,1,False,466.625
360,83.884,1,False,656.0
361,72.926,1,False,649.0
362,94.919,1,False,374.5
363,83.195,1,False,538.8
364,88.478,1,False,413.571
365,87.434,1,False,411.364
366,80.571,1,False,418.429
367,78.576,1,False,347.286
368,83.98,1,False,497.5
369,86.057,1,False,452.429
370,80.441,1,False,514.0
371,86.58,1,False,416.556
372,77.965,1,False,614.857
373,83.581,1,False,438.667
374,77.248,1,False,413.333
375,88.917,1,False,298.875
376,86.718,1,False,429.857
377,91.287,1,False,571.667
378,91.87,1,False,549.75
379,83.812,1,False,562.8
380,99.063,1,False,589.444
381,88.826,1,False,627.222
382,95.291,1,False,628.125
383,89.659,1,False,633.667
384,86.285,1,False,481.571
385,83.096,1,False,478.833
386,89.143,1,False,396.75
387,88.924,1,False,497.714
388,95.991,1,False,494.75
389,85.159,1,False,211.8
390,95.122,1,False,303.857
391,103.175,1,False,465.286
392,100.507,1,False,382.571
393,88.559,1,False,767.333
394,106.79,1,False,426.167
395,97.12,1,False,350.125
396,99.979,1,False,519.333
397,107.271,1,False,339.429
398,103.484,1,False,466.5
399,90.76,1,False,329.833
400,74.115,1,False,384.75
401,69.245,1,False,452.2
402,50.567,1,False,519.0
403,69.819,1,False,200.4
404,64.258,1,False,286.8
405,51.877,1,False,504.5
406,58.675,1,False,714.0
407,88.144,1,False,490.571
408,94.068,1,False,715.6
409,89.615,1,False,607.4
410,105.451,1,False,281.429
411,97.673,1,False,380.333
412,94.256,1,False,256.667
413,95.072,1,False,308.571
414,89.485,1,False,413.143
415,92.308,1,False,581.0
416,101.856,1,False,474.286
417,91.985,1,False,726.875
418,92.039,1,False,508.333
419,86.698,1,False,507.333
420,89.018,1,False,327.1
421,93.787,1,False,396.667
422,90.461,1,False,143.667
423,86.485,1,False,265.286
424,89.659,1,False,315.857
425,82.961,1,False,620.571
426,92.454,1,False,394.6
427,84.045,1,False,321.875
428,83.163,1,False,473.167
429,93.665,1,False,339.111
430,92.99,1,True,612.4
431,92.537,1,False,597.25
432,97.01,1,False,513.556
433,101.494,1,False,702.143
434,102.609,1,False,851.667
435,108.902,1,False,576.714
436,96.911,1,False,655.6
437,115.981,1,False,401.333
438,104.441,1,False,472.667
439,85.162,1,False,846.333
440,100.298,1,False,480.0
441,96.798,1,False,530.625
442,104.067,1,False,688.667
443,104.021,1,True,449.333
444,100.079,1,False,405.571
445,94.037,1,False,804.75
446,112.674,1,False,437.889
447,107.411,1,False,642.875
448,99.531,1,False,645.571
449,96.805,1,False,596.5
450,105.228,1,False,545.875
451,91.086,1,False,442.667
452,101.721,1,False,342.571
453,104.126,1,False,498.167
454,108.868,1,False,351.75
455,101.108,1,False,573.2
456,103.084,1,False,398.5
457,110.334,1,False,447.875
458,113.33,1,False,610.875
459,90.107,1,False,685.5
460,104.106,1,False,347.0
461,97.397,1,False,216.75
462,85.833,1,False,478.0
463,89.384,1,False,573.25
464,105.909,1,False,503.222
465,109.029,1,False,369.75
466,116.699,1,False,466.125
467,97.864,1,False,628.6
468,117.446,1,False,395.0
469,99.375,1,False,722.286
470,106.908,1,False,447.25
471,102.991,1,False,291.143
472,96.0,1,False,577.875
473,100.34,1,False,359.833
474,84.623,1,False,326.5
475,91.112,1,False,456.0
476,97.059,1,False,653.714
477,97.544,1,False,688.5
478,104.426,1,False,465.6
479,100.194,1,False,632.556
480,112.669,1,False,712.8
481,113.304,1,False,472.0
482,100.162,1,False,656.875
483,103.494,1,False,571.0
484,105.517,1,False,555.875
485,110.782,1,False,646.833
486,106.018,1,False,502.0
487,110.687,1,False,521.667
488,101.453,1,False,468.6
489,90.288,1,False,1020.333
490,100.452,1,False,371.8
491,117.789,1,False,484.0
492,127.859,1,False,586.714
493,111.759,1,False,593.667
494,112.733,1,False,517.833
495,106.7,1,True,523.75
496,110.487,1,False,480.667
497,109.047,1,False,375.5
498,102.264,1,False,579.5
499,103.146,1,False,725.286
500,111.09,1,False,432.75
501,106.176,1,False,552.0
502,115.085,1,False,619.889
503,114.517,1,False,653.0
504,112.041,1,False,528.8
505,89.468,1,False,662.167
506,78.693,1,False,939.25
507,86.531,1,False,385.0
508,45.467,1,False,372.0
509,58.591,1,False,364.0
510,50.435,1,False,214.75
511,38.246,1,False,363.333
512,34.885,1,False,292.0
513,34.135,1,False,0
514,57.501,1,False,254.6
515,34.635,1,False,587.0
516,35.273,1,False,446.25
517,34.336,1,False,976.0
518,47.079,1,False,326.333
519,54.37,1,False,882.75
520,68.203,1,False,765.667
521,75.896,1,False,374.8
522,73.294,1,False,721.75
523,86.46,1,False,343.4
524,83.577,1,False,252.0
525,47.759,1,False,297.0
526,47.087,1,False,94.667
527,43.803,1,False,323.5
528,32.471,1,False,-10.0
529,13.555,1,False,188.5
530,27.529,1,False,353.5
531,25.048,1,False,414.333
532,19.509,1,False,633.0
533,10.486,1,False,156.0
534,39.344,1,False,120.5
535,56.924,1,False,389.889
536,62.269,1,False,611.8
537,65.693,1,False,302.25
538,69.592,1,False,417.667
539,65.062,1,False,528.111
540,75.038,1,False,522.4
541,55.175,1,False,521.2
542,68.716,1,False,374.6
543,63.753,1,False,424.75
544,70.135,1,False,292.0
545,89.006,1,False,400.667
546,85.193,1,False,345.833
547,93.225,1,False,442.857
548,96.286,1,False,597.333
549,100.22,1,False,457.5
550,105.064,1,False,266.667
551,100.936,1,False,493.25
552,95.621,1,False,678.5
553,116.04,1,False,464.2
554,100.992,1,False,315.0
555,110.814,1,False,439.111
556,103.818,1,False,641.75
557,108.869,1,False,393.4
558,110.641,1,False,494.375
559,102.947,1,False,603.0
560,90.533,1,False,512.4
561,83.651,1,False,508.833
562,80.419,1,False,715.333
563,86.982,1,False,442.0
564,101.39,1,False,421.375
565,103.417,1,False,786.571
566,102.022,1,False,745.2
567,108.158,1,False,610.5
568,111.077,1,False,393.167
569,108.995,1,False,505.625
570,94.142,1,False,730.333
571,103.653,1,False,648.8
572,102.537,1,False,536.167
573,115.186,1,False,402.286
574,104.091,1,False,583.571
575,107.209,1,False,429.0
576,97.521,1,False,446.333
577,106.627,1,False,421.571
578,101.135,1,False,601.2
579,86.703,1,False,428.0
580,81.769,1,False,580.5
581,81.116,1,False,721.0
582,77.212,1,False,718.5
583,74.118,1,False,460.667
584,82.105,1,False,511.333
585,101.483,1,False,431.222
586,109.729,1,False,617.625
587,99.083,1,False,719.667
588,102.264,1,False,405.5
589,82.572,1,False,490.75
590,106.914,1,False,383.25
591,107.419,1,False,558.143
592,118.315,1,False,653.833
593,128.041,1,False,378.0
594,71.978,1,False,418.667
595,79.489,1,False,499.833
596,72.924,1,False,383.2
597,83.166,1,False,434.429
598,79.553,1,False,423.5
599,79.647,1,False,597.429
600,85.748,1,False,485.0
601,82.607,1,False,370.5
602,90.8,1,False,563.889
603,106.392,1,False,528.25
604,100.688,1,False,363.625
605,97.713,1,False,267.167
606,82.957,1,False,415.2
607,87.48,1,False,490.2
608,93.98,1,False,352.0
609,63.289,1,False,194.6
610,64.952,1,False,524.167
611,71.389,1,False,271.75
612,68.49,1,False,253.167
613,43.362,1,False,317.0
614,39.909,1,False,173.0
615,32.036,1,False,122.667
616,35.785,1,False,382.5
617,44.408,1,False,509.333
618,49.824,1,False,378.2
619,51.454,1,False,246.25
620,81.828,1,False,549.125
621,79.485,1,False,478.25
622,75.172,1,False,495.143
623,72.919,1,False,441.833
624,88.829,1,False,719.5
