episode,total_reward,best_reward,average_reward,episode_length,total_steps,epsilon,average_loss,learning_rate,gamma,timestamp
0,76.5,76.5,76.5,313,313,0.9969,0.0,0.0001,0.99,2025-09-12 11:57:08
1,54.1,76.5,65.3,142,455,0.9955,0.0,0.0001,0.99,2025-09-12 11:57:09
2,18.0,76.5,49.533,42,497,0.9951,0.0,0.0001,0.99,2025-09-12 11:57:09
3,53.2,76.5,50.45,848,1345,0.9868,0.0,0.0001,0.99,2025-09-12 11:57:14
4,56.35,76.5,51.63,247,1592,0.9844,0.0,0.0001,0.99,2025-09-12 11:57:16
5,55.55,76.5,52.283,130,1722,0.9831,0.0,0.0001,0.99,2025-09-12 11:57:17
