episode,total_reward,best_reward,average_reward,episode_length,total_steps,epsilon,average_loss,learning_rate,gamma,timestamp
0,56.0,56.0,56.0,858,858,0.9915,0.0,0.0001,0.99,2025-09-12 12:11:21
1,58.2,58.2,57.1,178,1036,0.9898,0.0,0.0001,0.99,2025-09-12 12:11:22
2,19.0,58.2,44.4,42,1078,0.9894,0.0,0.0001,0.99,2025-09-12 12:11:22
3,18.6,58.2,37.95,40,1118,0.989,0.0,0.0001,0.99,2025-09-12 12:11:22
4,54.6,58.2,41.28,127,1245,0.9877,0.0,0.0001,0.99,2025-09-12 12:11:23
5,100.35,100.35,51.125,684,1929,0.9811,0.0,0.0001,0.99,2025-09-12 12:11:27
6,75.75,100.35,54.643,245,2174,0.9787,0.0,0.0001,0.99,2025-09-12 12:11:29
