episode,total_reward,best_reward,average_reward,episode_length,total_steps,epsilon,average_loss,learning_rate,gamma,timestamp
0,22.175,22.175,22.175,2020,2020,0.9802,0.0,0.0001,0.99,2025-09-14 21:49:46
1,10.0,22.175,16.087,102,2122,0.9792,0.0,0.0001,0.99,2025-09-14 21:49:46
2,19.8,22.175,17.325,48,2170,0.9787,0.0,0.0001,0.99,2025-09-14 21:49:47
3,12.575,22.175,16.137,2020,4190,0.9594,0.0,0.0001,0.99,2025-09-14 21:49:58
4,5.9,22.175,14.09,2005,6195,0.9405,0.0,0.0001,0.99,2025-09-14 21:50:10
