episode,total_reward,best_reward,average_reward,episode_length,total_steps,epsilon,average_loss,learning_rate,gamma,timestamp
0,58.1,58.1,58.1,98,98,0.999,0.0,0.0001,0.99,2025-09-12 12:03:34
1,18.8,58.1,38.45,37,135,0.9987,0.0,0.0001,0.99,2025-09-12 12:03:34
2,54.7,58.1,43.867,138,273,0.9973,0.0,0.0001,0.99,2025-09-12 12:03:35
3,20.2,58.1,37.95,40,313,0.9969,0.0,0.0001,0.99,2025-09-12 12:03:35
4,55.15,58.1,41.39,147,460,0.9954,0.0,0.0001,0.99,2025-09-12 12:03:36
5,51.8,58.1,43.125,312,772,0.9924,0.0,0.0001,0.99,2025-09-12 12:03:38
6,57.15,58.1,45.129,288,1060,0.9896,0.0,0.0001,0.99,2025-09-12 12:03:39
7,69.25,69.25,48.144,472,1532,0.9849,0.0,0.0001,0.99,2025-09-12 12:03:42
8,62.35,69.25,49.722,400,1932,0.981,0.0,0.0001,0.99,2025-09-12 12:03:44
9,56.65,69.25,50.415,94,2026,0.9801,0.0,0.0001,0.99,2025-09-12 12:03:45
10,57.05,69.25,51.018,237,2263,0.9778,0.0,0.0001,0.99,2025-09-12 12:03:46
11,54.1,69.25,51.275,124,2387,0.9766,0.0,0.0001,0.99,2025-09-12 12:03:47
